date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-01-01,,,,,,,,
2020-01-02,,,,,,,,
2020-01-03,,,,,,,,
2020-01-04,,,,,,,,
2020-01-05,,,,,,,,
2020-01-06,,,,,,,,
2020-01-07,,,,,,,,
2020-01-08,,,,,,,,
2020-01-09,,,,,,,,
2020-01-10,,,,,,,,
2020-01-11,,,,,,,,
2020-01-12,,,,,,,,
2020-01-13,,,,,,,,
2020-01-14,0.0,,,,1,,0,
2020-01-15,0.0,,,,0,,0,
2020-01-16,0.0,,,,0,,0,
2020-01-17,0.0,,,,0,,0,
2020-01-18,0.0,,,,0,,0,
2020-01-19,1.0,,,,-1.0,,-1.0,
2020-01-20,1.0,,,,0,,1.0,
2020-01-21,2.0,,,,-0.5,,-0.5,
2020-01-22,2.0,,,,0,,0,
2020-01-23,2.0,,,,0,,1.0,
2020-01-24,2.0,,,,0,,0,
2020-01-25,2.0,,,,0,,0,
2020-01-26,2.0,,,,0,,0,
2020-01-27,2.0,,,,0.5,,0,
2020-01-28,2.0,,,,0,,0,
2020-01-29,2.0,,,,0,,0,
2020-01-30,2.0,,,,1.0,,0.5,
2020-01-31,2.0,,,,0,,0.5,
2020-02-01,2.0,,,,0,,0,
2020-02-02,2.0,,,,0,,0,
2020-02-03,3.0,,,,-0.3333333333333333,,-0.3333333333333333,
2020-02-04,3.0,,,,0,,0,
2020-02-05,3.0,,,,0,,0,
2020-02-06,5.0,,,,-0.2,,-0.4,
2020-02-07,5.0,,,,0.2,,0,
2020-02-08,5.0,,,,0,,0,
2020-02-09,5.0,,,,0,,0.2,
2020-02-10,5.0,,,,0,,0.2,
2020-02-11,5.0,,,,0,,0.2,
2020-02-12,5.0,,,,0,,0.4,
2020-02-13,6.0,,,,-0.16666666666666666,,0.0,
2020-02-14,7.0,,,,-0.14285714285714285,,0.14285714285714285,
2020-02-15,7.0,,,,0,,0.42857142857142855,
2020-02-16,7.0,,,,0.14285714285714285,,1,
2020-02-17,7.0,,,,0.14285714285714285,,1,
2020-02-18,7.0,,,,0.14285714285714285,,1,
