date,death,positive
2021-03-07,1478.0,100391.0
2021-03-06,1478.0,100357.0
2021-03-05,1478.0,100278.0
2021-03-04,1478.0,100184.0
2021-03-03,1478.0,100067.0
2021-03-02,1477.0,99957.0
2021-03-01,1475.0,99852.0
2021-02-28,1472.0,99809.0
2021-02-27,1472.0,99780.0
2021-02-26,1472.0,99711.0
2021-02-25,1471.0,99621.0
2021-02-24,1470.0,99531.0
2021-02-23,1468.0,99416.0
2021-02-22,1468.0,99312.0
2021-02-21,1465.0,99277.0
2021-02-20,1465.0,99228.0
2021-02-19,1465.0,99153.0
2021-02-18,1465.0,99034.0
2021-02-17,1461.0,98901.0
2021-02-16,1461.0,98781.0
2021-02-15,1461.0,98643.0
2021-02-14,1461.0,98597.0
2021-02-13,1461.0,98551.0
2021-02-12,1461.0,98466.0
2021-02-11,1460.0,98353.0
2021-02-10,1459.0,98214.0
2021-02-09,1457.0,98175.0
2021-02-08,1454.0,98184.0
2021-02-07,1451.0,98155.0
2021-02-06,1451.0,98106.0
2021-02-05,1451.0,98095.0
2021-02-04,1447.0,98034.0
2021-02-03,1447.0,97936.0
2021-02-02,1447.0,97798.0
2021-02-01,1447.0,97683.0
2021-01-31,1442.0,97630.0
2021-01-30,1442.0,97562.0
2021-01-29,1442.0,97458.0
2021-01-28,1442.0,97305.0
2021-01-27,1441.0,97160.0
2021-01-26,1440.0,97006.0
2021-01-25,1436.0,96874.0
2021-01-24,1428.0,96817.0
2021-01-23,1428.0,96720.0
2021-01-22,1428.0,96567.0
2021-01-21,1422.0,96370.0
2021-01-20,1409.0,96222.0
2021-01-19,1408.0,96071.0
2021-01-18,1395.0,95934.0
2021-01-17,1395.0,95864.0
2021-01-16,1395.0,95714.0
2021-01-15,1395.0,95599.0
2021-01-14,1372.0,95378.0
2021-01-13,1364.0,95135.0
2021-01-12,1363.0,94968.0
2021-01-11,1360.0,94830.0
2021-01-10,1360.0,94716.0
2021-01-09,1360.0,94558.0
2021-01-08,1360.0,94438.0
2021-01-07,1348.0,94156.0
2021-01-06,1341.0,93832.0
2021-01-05,1336.0,93494.0
2021-01-04,1319.0,93240.0
2021-01-03,1317.0,93041.0
2021-01-02,1317.0,92891.0
2021-01-01,1289.0,92495.0
2020-12-31,1289.0,92495.0
2020-12-30,1289.0,92202.0
2020-12-29,1283.0,91831.0
2020-12-28,1271.0,91559.0
2020-12-27,1271.0,91466.0
2020-12-26,1271.0,91355.0
2020-12-25,1267.0,90948.0
2020-12-24,1267.0,90948.0
2020-12-23,1249.0,90723.0
2020-12-22,1244.0,90453.0
2020-12-21,1239.0,90121.0
2020-12-20,1237.0,90039.0
2020-12-19,1231.0,89788.0
2020-12-18,1231.0,89557.0
2020-12-17,1210.0,89063.0
2020-12-16,1200.0,88686.0
2020-12-15,1176.0,88395.0
2020-12-14,1163.0,88067.0
