date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,3,0
2020-03-10,4,0
2020-03-11,7,0
2020-03-12,7,0
2020-03-13,7,0
2020-03-14,9,0
2020-03-15,13,0
2020-03-16,13,0
2020-03-17,19,0
2020-03-18,31,0
2020-03-19,35,0
2020-03-20,48,0
2020-03-21,85,0
2020-03-22,114,0
2020-03-23,136,2
2020-03-24,148,2
2020-03-25,177,2
2020-03-26,201,3
2020-03-27,219,3
2020-03-28,241,4
2020-03-29,241,4
2020-03-30,285,7
2020-03-31,329,9
2020-04-01,354,11
2020-04-02,354,11
2020-04-03,384,11
2020-04-04,430,12
2020-04-05,483,17
2020-04-06,555,18
2020-04-07,570,21
2020-04-08,599,27
2020-04-09,617,30
